,username,posts,comments,likes,views,posts_trans,comments_trans,likes_trans,views_trans,contribution
74,I072355,16.0,16.0,2.0,189.0,2.772588722239781,2.772588722239781,0.6931471805599453,5.241747015059643,66.83437752849346
57,I329553,20.0,20.0,0.0,77.0,2.995732273553991,2.995732273553991,0.0,4.343805421853684,66.78299706429404
263,I023505,7.0,9.0,33.0,831.0,1.9459101490553132,2.1972245773362196,3.4965075614664802,6.7226297948554485,66.66498083286575
171,I852619,9.0,12.0,11.0,522.0,2.1972245773362196,2.4849066497880004,2.3978952727983707,6.257667587882639,66.66149738505736
129,D030764,11.0,11.0,6.0,731.0,2.3978952727983707,2.3978952727983707,1.791759469228055,6.594413459749778,66.6424312732297
99,D019811,13.0,13.0,4.0,304.0,2.5649493574615367,2.5649493574615367,1.3862943611198906,5.717027701406222,66.62508876834919
69,I819273,17.0,17.0,1.0,263.0,2.833213344056216,2.833213344056216,0.0,5.572154032177765,66.39555630825814
112,I025371,12.0,12.0,5.0,306.0,2.4849066497880004,2.4849066497880004,1.6094379124341003,5.723585101952381,66.28505403868125
130,I852872,11.0,11.0,5.0,615.0,2.3978952727983707,2.3978952727983707,1.6094379124341003,6.421622267806518,66.11606693172222
262,I810873,7.0,11.0,15.0,1015.0,1.9459101490553132,2.3978952727983707,2.70805020110221,6.922643891475888,66.1026292113743
176,I307084,9.0,9.0,11.0,906.0,2.1972245773362196,2.1972245773362196,2.3978952727983707,6.80903930604298,66.07438622908911
373,D058487,5.0,6.0,62.0,4503.0,1.6094379124341003,1.791759469228055,4.127134385045092,8.412499120301572,65.98908189495448
67,I004305,18.0,18.0,0.0,88.0,2.8903717578961645,2.8903717578961645,0.0,4.477336814478207,65.88123448860402
173,I853843,9.0,12.0,3.0,3018.0,2.1972245773362196,2.4849066497880004,1.0986122886681098,8.012349639327795,65.83335097433958
100,I336597,13.0,13.0,4.0,124.0,2.5649493574615367,2.5649493574615367,1.3862943611198906,4.820281565605037,65.74423141961961
150,I066551,10.0,10.0,6.0,726.0,2.302585092994046,2.302585092994046,1.791759469228055,6.587550014824796,65.69927821960745
88,D021532,14.0,14.0,2.0,220.0,2.6390573296152584,2.6390573296152584,0.6931471805599453,5.393627546352362,65.67312476922937
312,D066594,6.0,7.0,32.0,1884.0,1.791759469228055,1.9459101490553132,3.4657359027997265,7.5411524551363085,65.51089860017535
